,t0,p_atm,phi,adiabatic_flame_temperature
0,400.0,5.0,0.5,1602.6487817098882
1,400.0,5.0,0.5625,1726.174300789981
2,400.0,5.0,0.625,1844.9558414002283
3,400.0,5.0,0.6875,1958.6942266501742
4,400.0,5.0,0.75,2066.6206611472157
5,400.0,5.0,0.8125,2167.2056982408226
6,400.0,5.0,0.875,2257.6835629658685
7,400.0,5.0,0.9375,2333.100689373203
8,400.0,5.0,1.0,2383.832579871304
9,400.0,5.0,1.0625,2393.8150545289027
10,400.0,5.0,1.125,2363.824146736253
11,400.0,5.0,1.1875,2318.0847223206956
12,400.0,5.0,1.25,2268.823719041914
13,400.0,5.0,1.3125,2219.236019321048
14,400.0,5.0,1.375,2170.219203468567
15,400.0,5.0,1.4375,2122.0604411443237
16,400.0,5.0,1.5,2074.843266309171
17,400.0,5.0,1.5625,2028.571597804191
18,400.0,5.0,1.625,1983.2167222640549
19,400.0,5.0,1.6875,1938.7376493597237
20,400.0,5.0,1.75,1895.0903504499363
21,400.0,5.0,1.8125,1852.2318190333856
22,400.0,5.0,1.875,1810.1216238380964
23,400.0,5.0,1.9375,1768.7222641635215
24,400.0,5.0,2.0,1727.9989888274538
25,400.0,6.458333333333333,0.5,1602.6776186107481
26,400.0,6.458333333333333,0.5625,1726.251141811849
27,400.0,6.458333333333333,0.625,1845.139867050061
28,400.0,6.458333333333333,0.6875,1959.1026390008656
29,400.0,6.458333333333333,0.75,2067.4722712775415
30,400.0,6.458333333333333,0.8125,2168.873987411901
31,400.0,6.458333333333333,0.875,2260.7157751085824
32,400.0,6.458333333333333,0.9375,2338.0553165232577
33,400.0,6.458333333333333,1.0,2390.413037972556
34,400.0,6.458333333333333,1.0625,2399.086088034272
35,400.0,6.458333333333333,1.125,2366.463401268353
36,400.0,6.458333333333333,1.1875,2319.506653157228
37,400.0,6.458333333333333,1.25,2269.7218738280158
38,400.0,6.458333333333333,1.3125,2219.8584281951667
39,400.0,6.458333333333333,1.375,2170.671591397868
40,400.0,6.458333333333333,1.4375,2122.3973024018505
41,400.0,6.458333333333333,1.5,2075.0969901669714
42,400.0,6.458333333333333,1.5625,2028.7634565295027
43,400.0,6.458333333333333,1.625,1983.3616818119754
44,400.0,6.458333333333333,1.6875,1938.8467375272432
45,400.0,6.458333333333333,1.75,1895.1719372371888
46,400.0,6.458333333333333,1.8125,1852.2923688514575
47,400.0,6.458333333333333,1.875,1810.1661747877733
48,400.0,6.458333333333333,1.9375,1768.7547598605513
49,400.0,6.458333333333333,2.0,1728.0225293380163
50,400.0,7.916666666666666,0.5,1602.6991099355637
51,400.0,7.916666666666666,0.5625,1726.3081415050156
52,400.0,7.916666666666666,0.625,1845.2756265313044
53,400.0,7.916666666666666,0.6875,1959.402409825708
54,400.0,7.916666666666666,0.75,2068.0956304346264
55,400.0,7.916666666666666,0.8125,2170.0975322530644
56,400.0,7.916666666666666,0.875,2262.9602622113102
57,400.0,7.916666666666666,0.9375,2341.789431987138
58,400.0,7.916666666666666,1.0,2395.458963840137
59,400.0,7.916666666666666,1.0625,2402.9780761698903
60,400.0,7.916666666666666,1.125,2368.326971764034
61,400.0,7.916666666666666,1.1875,2320.5092582345014
62,400.0,7.916666666666666,1.25,2270.3581488554532
63,400.0,7.916666666666666,1.3125,2220.3004818906843
64,400.0,7.916666666666666,1.375,2170.9931661397995
65,400.0,7.916666666666666,1.4375,2122.636768803963
66,400.0,7.916666666666666,1.5,2075.2773080218117
67,400.0,7.916666666666666,1.5625,2028.8997582477953
68,400.0,7.916666666666666,1.625,1983.4646280683035
69,400.0,7.916666666666666,1.6875,1938.9241852265402
70,400.0,7.916666666666666,1.75,1895.2298482705744
71,400.0,7.916666666666666,1.8125,1852.335347287216
72,400.0,7.916666666666666,1.875,1810.1978114798117
73,400.0,7.916666666666666,1.9375,1768.777873887611
74,400.0,7.916666666666666,2.0,1728.0393555698922
75,400.0,9.375,0.5,1602.7160417073442
76,400.0,9.375,0.5625,1726.3528836635467
77,400.0,9.375,0.625,1845.3817247026898
78,400.0,9.375,0.6875,1959.6357051441687
79,400.0,9.375,0.75,2068.57951959325
80,400.0,9.375,0.8125,2171.048245446398
81,400.0,9.375,0.875,2264.7159925113633
82,400.0,9.375,0.9375,2344.7523227186725
83,400.0,9.375,1.0,2399.522129255348
84,400.0,9.375,1.0625,2406.007151762016
85,400.0,9.375,1.125,2369.728864994987
86,400.0,9.375,1.1875,2321.2640709289626
87,400.0,9.375,1.25,2270.8390921263667
88,400.0,9.375,1.3125,2220.6352865573367
89,400.0,9.375,1.375,2171.2368819928633
90,400.0,9.375,1.4375,2122.8182642176685
91,400.0,9.375,1.5,2075.413947183356
92,400.0,9.375,1.5625,2029.0030160349409
93,400.0,9.375,1.625,1983.542596690778
94,400.0,9.375,1.6875,1938.982829806052
95,400.0,9.375,1.75,1895.2736949974258
96,400.0,9.375,1.8125,1852.367892458916
97,400.0,9.375,1.875,1810.221785808319
98,400.0,9.375,1.9375,1768.7954305026408
99,400.0,9.375,2.0,1728.0522211245486
100,400.0,10.833333333333332,0.5,1602.7298950719735
101,400.0,10.833333333333332,0.5625,1726.3893814147655
102,400.0,10.833333333333332,0.625,1845.4679579953606
103,400.0,10.833333333333332,0.6875,1959.8246439441477
104,400.0,10.833333333333332,0.75,2068.970485248217
105,400.0,10.833333333333332,0.8125,2171.816705907904
106,400.0,10.833333333333332,0.875,2266.1424005317213
107,400.0,10.833333333333332,0.9375,2347.1877781753665
108,400.0,10.833333333333332,1.0,2402.905313570307
109,400.0,10.833333333333332,1.0625,2408.452036420098
